dataset,IR,fold,rep,f1,precision,recall,balanced_accuracy,geometric_mean,roc_auc
dataset_764_analcatdata_apnea3,0.13924050632911392,3,0,0.0,0.0,0.0,0.5,0.0,0.6093210586881473
dataset_764_analcatdata_apnea3,0.13924050632911392,4,0,0.0,0.0,0.0,0.5,0.0,0.5207134637514385
dataset_765_analcatdata_apnea2,0.15571776155717762,0,0,0.0,0.0,0.0,0.5,0.0,0.39399624765478425
dataset_765_analcatdata_apnea2,0.15571776155717762,1,0,0.0,0.0,0.0,0.5,0.0,0.3855534709193246
dataset_765_analcatdata_apnea2,0.15571776155717762,2,0,0.0,0.0,0.0,0.5,0.0,0.4873358348968104
dataset_765_analcatdata_apnea2,0.15571776155717762,3,0,0.0,0.0,0.0,0.5,0.0,0.5182926829268293
dataset_765_analcatdata_apnea2,0.15571776155717762,4,0,0.0,0.0,0.0,0.5,0.0,0.5331325301204819
dataset_767_analcatdata_apnea1,0.1473429951690821,0,0,0.0,0.0,0.0,0.5,0.0,0.5928705440900564
dataset_767_analcatdata_apnea1,0.1473429951690821,1,0,0.0,0.0,0.0,0.5,0.0,0.45481927710843373
dataset_767_analcatdata_apnea1,0.1473429951690821,2,0,0.0,0.0,0.0,0.5,0.0,0.5491967871485944
dataset_767_analcatdata_apnea1,0.1473429951690821,3,0,0.0,0.0,0.0,0.5,0.0,0.4899598393574297
dataset_767_analcatdata_apnea1,0.1473429951690821,4,0,0.0,0.0,0.0,0.5,0.0,0.45331325301204817
dataset_865_analcatdata_neavote,0.07526881720430108,0,0,0.0,0.0,0.0,0.5,0.0,0.1842105263157895
dataset_865_analcatdata_neavote,0.07526881720430108,1,0,0.0,0.0,0.0,0.5,0.0,0.7894736842105263
dataset_865_analcatdata_neavote,0.07526881720430108,2,0,0.0,0.0,0.0,0.5,0.0,0.9210526315789473
dataset_865_analcatdata_neavote,0.07526881720430108,3,0,0.0,0.0,0.0,0.5,0.0,0.3888888888888889
dataset_865_analcatdata_neavote,0.07526881720430108,4,0,0.0,0.0,0.0,0.5,0.0,0.8055555555555556
dataset_940_water-treatment,0.1789709172259508,0,0,0.43478260869565216,0.7142857142857143,0.3125,0.6451388888888889,0.5527707983925666,0.7034722222222223
dataset_940_water-treatment,0.1789709172259508,1,0,0.2608695652173913,0.42857142857142855,0.1875,0.5715277777777779,0.4232808366400098,0.640625
dataset_940_water-treatment,0.1789709172259508,2,0,0.3,0.75,0.1875,0.5881320224719101,0.43057317430021846,0.6692415730337079
dataset_940_water-treatment,0.1789709172259508,3,0,0.10526315789473684,0.3333333333333333,0.0625,0.5200140449438202,0.24717505055724684,0.608497191011236
dataset_940_water-treatment,0.1789709172259508,4,0,0.10526315789473684,0.3333333333333333,0.0625,0.5200140449438202,0.24717505055724684,0.6214887640449438
dataset_947_arsenic-male-bladder,0.044859813084112146,0,0,0.75,1.0,0.6,0.8,0.7745966692414834,0.8719626168224298
dataset_947_arsenic-male-bladder,0.044859813084112146,1,0,0.75,1.0,0.6,0.8,0.7745966692414834,0.777570093457944
dataset_947_arsenic-male-bladder,0.044859813084112146,2,0,0.5714285714285714,1.0,0.4,0.7,0.6324555320336759,0.7775700934579439
dataset_947_arsenic-male-bladder,0.044859813084112146,3,0,0.5714285714285714,1.0,0.4,0.7,0.6324555320336759,0.6747663551401868
dataset_947_arsenic-male-bladder,0.044859813084112146,4,0,0.4,1.0,0.25,0.625,0.5,0.7184579439252337
